mineralName,discoveryYear
Welshite,1973
Bicchulite,1973
Swinefordite,1973
Lovdarite,1973
Zirsinalite,1973
Ferrobustamite,1973
Pentagonite,1973
Armstrongite,1973
Gjerdingenite-Fe,1973
Ohmilite,1973
Brannockite,1973
Raite,1973
Vuonnemite,1973
Umbozerite,1973
Gaidonnayite,1973
Liebenbergite,1973
Surinamite,1974
Mazzite-Mg,1974
Creaseyite,1974
Kellyite,1974
Barrerite,1974
Stringhamite,1974
Koashvite,1974
Macfallite,1974
Killalaite,1974
Hafnon,1974
Kazakovite,1974
Yofortierite,1974
Haradaite,1974
Khibinskite,1974
Balipholite,1975
Liottite,1975
Axinite-(Mg),1975
Vertumnite,1975
Vuagnatite,1975
Cowlesite,1975
Kegelite,1975
Bazirite,1975
Baratovite,1975
Santaclaraite,1975
Darapiosite,1975
Gerstmannite,1975
Natrosilite,1975
Natisite,1975
Ferrochiavennite,1976
Franzinite,1976
Tuscanite,1976
Burckhardtite,1976
Kanonaite,1976
Hydroxylgugiaite,1976
Okanoganite-(Y),1976
Fluorapophyllite-(Na),1976
Fukalite,1976
Fluorapophyllite-(K),1976
Junitoite,1976
Laihunite,1976
Zektzerite,1976
Kraisslite,1977
Merlinoite,1977
Surite,1977
Eggletonite,1977
Chantalite,1977
Perhamite,1977
Magnesiocarpholite,1977
Slawsonite,1977
Titantaramellite,1977
Taneyamalite,1977
Ruizite,1977
Fluorcalciobritholite,1977
Nagelschmidtite,1977
Hatrurite,1977
Chesterite,1977
Clinojimthompsonite,1977
Jimthompsonite,1977
Kanoite,1977
Parakeldyshite,1977
Ferro-hornblende,1978
Ferro-holmquistite,1978
Panunzite,1978
Suzukiite,1978
Defernite,1978
Ferro-richterite,1978
Marsturite,1978
Charoite,1978
Chivruaiite,1978
Hydroxyapophyllite-(K),1978
Emeleusite,1978
Fluoro-riebeckite,1978
Ferripyrophyllite,1978
Queitite,1978
Sacrofanite,1979
Giuseppettite,1979
Goosecreekite,1979
Hydrodelhayelite,1979
Amicite,1979
Kolicite,1979
Rondorfite,1979
Shuiskite-(Cr),1979
Tisinalite,1979
Imandrite,1979
Neltnerite,1979
Mcgillite,1979
Macquartite,1979
Povondraite,1979
Saneroite,1979
Ertixiite,1979
Kalborsite,1980
Preiswerkite,1980
Kulkeite,1980
Paranatrolite,1980
Nagashimalite,1980
Cámaraite,1980
Bigcreekite,1980
Shuiskite-(Mg),1980
Loudounite,1980
Cascandite,1980
Reinhardbraunsite,1980
Gittinsite,1980
Petarasite,1980
Gilalite,1980
Apachite,1980
Eifelite,1980
Chessexite,1981
Charlesite,1981
Kamaishilite,1981
Wonesite,1981
Janhaugite,1981
Clinophosinaite,1981
Steacyite,1981
Jasmundite,1981
Zakharovite,1981
Jerrygibbsite,1981
Swamboite-(Nd),1981
Uranosilite,1981
Jeffreyite,1982
Almarudite,1982
Gobbinsite,1982
Tobelite,1982
Strontiojoaquinite,1982
Jinshajiangite,1982
Bario-orthojoaquinite,1982
Christofschäferite-(Ce),1982
Chlorellestadite,1982
Sobolevite,1982
Fluorellestadite,1982
Luddenite,1982
Shafranovskite,1982
Medaite,1982
Jervisite,1982
Terskite,1982
Plumbotsumite,1982
Umbite,1982
Filatovite,1983
Høgtuvaite,1983
Eirikite,1983
Stronalsite,1983
Lithosite,1983
Sverigeite,1983
Strontiochevkinite,1983
Petedunnite,1983
Kittatinnyite,1983
Bostwickite,1983
Trabzonite,1983
Balangeroite,1983
Xifengite,1983
Kostylevite,1983
Paraumbite,1983
Sadanagaite,1984
Perlialite,1984
Minehillite,1984
Willhendersonite,1984
Lennilenapeite,1984
Ellenbergerite,1984
Nelenite,1984
Perraultite,1984
Taikanite,1984
Yakhontovite,1984
Denisovite,1984
Kvanefjeldite,1984
Oyelite,1984
Proto-ferro-suenoite,1984
Gupeiite,1984
Donpeacorite,1984
Franciscanite,1984
Natalyite,1984
Mogánite,1984
Davanite,1984
Carlosturanite,1985
Natronambulite,1985
Okhotskite,1985
Lalondeite,1985
Mongolite,1985
Tokkoite,1985
Ribbeite,1985
Thornasite,1985
Georgechaoite,1985
Hochelagaite,1986
Mathewrogersite,1986
Paravinogradovite,1986
Olenite,1986
Ammonioleucite,1986
Johninnesite,1986
Haineaultite,1986
Erlianite,1986
Lourenswalsite,1987
Delindeite,1987
Wadalite,1987
Amstallite,1987
Dorrite,1987
Esseneite,1987
Hingganite-(Ce),1987
Franklinfurnaceite,1987
Sveinbergeite,1987
Chayesite,1987
Poudretteite,1987
Maricopaite,1988
Svyatoslavite,1988
Nanpingite,1988
Werdingite,1988
Baileychlore,1988
Wawayandaite,1988
Burpalite,1988
Calciohilairite,1988
Asisite,1988
Wilkinsonite,1988
Feruvite,1989
Piemontite-(Sr),1989
Yoshiokaite,1989
Dmisteinbergite,1989
Hejtmanite,1989
Ferrisurite,1989
Clinotobermorite,1989
Norrishite,1989
Lintisite,1989
Namansilite,1989
Grenmarite,1989
Sitinakite,1989
Kukisvumite,1989
Tounkite,1990
Bystrite,1990
Quadridavyne,1990
Boggsite,1990
Lunijianlaite,1990
Cancrisilite,1990
Hydroxycancrinite,1990
Mazzite-Na,1990
Montesommaite,1990
Komkovite,1990
Alluaivite,1990
Lithiomarsturite,1990
Orlymanite,1990
Abswurmbachite,1990
Silinaite,1990
Coombsite,1991
Boromuscovite,1991
Belkovite,1991
Samfowlerite,1991
Harrisonite,1991
Ashburtonite,1991
Tiettaite,1991
Vistepite,1991
Franklinphilite,1992
Tvedalite,1992
Liebauite,1992
Morimotoite,1992
Polyphite,1992
Quadruphite,1992
Ferri-leakeite,1992
Manaksite,1992
Hennomartinite,1992
Paranatisite,1992
Bellbergite,1993
Foitite,1993
Tsaregorodtsevite,1993
Effenbergerite,1993
Strakhovite,1993
Mozartite,1993
Potassic-mangani-leakeite,1993
Megacyclite,1993
Altisite,1994
Saliotite,1994
Gaultite,1994
Magnesiodumortierite,1995
Dozyite,1995
Mangano-mangani-ungarettiite,1995
Nchwaningite,1995
Itoigawaite,1996
Ferroaluminoceladonite,1997
Coutinhoite,1997
Ferroceladonite,1997
Kristiansenite,1998
Ferro-ferri-obertiite,1998
Watatsumiite,2000
Plumbophyllite,2000
Ferricerite-(LaCa),2001
Pezzottaite,2002
Ellingsenite,2002
Gjerdingenite-Mn,2002
Alsakharovite-Zn,2002
Princivalleite,2003
Hapkeite,2003
Bussyite-(Ce),2004
Barwoodite,2005
Hundholmenite-(Y),2006
Olmiite,2006
Yakovenchukite-(Y),2006
Kumtyubeite,2006
Dovyrenite,2006
Jadarite,2006
Siudaite,2008
Atelisite-(Y),2008
Menzerite-(Y),2009
Bridgmanite,2009
Oxo-magnesio-hastingsite,2011
Hydroterskite,2013
Adrianite,2014
Ferri-kaersutite,2014
Ferrorhodonite,2015
Ferrisanidine,2018
Johnkoivulaite,2019
Odikhinchaite,2020
Colomeraite,2021
Alfredcasparite,2022
