"mineralName","formula","discoveryYear"
"Kambaldaite","NaNi<sub>4</sub>(CO<sub>3</sub>)<sub>3</sub>(OH)<sub>3</sub>&middot;3H<sub>2</sub>O","1985"
"Donharrisite","Ni<sub>3</sub>HgS<sub>3</sub>","1987"
"Paraotwayite","Ni(OH)<sub>2-x</sub>(SO<sub>4</sub>,CO<sub>3</sub>)<sub>0.5x</sub>","1987"
"Keystoneite","Mg<sub>0.5</sub>Ni<sup>2+</sup>Fe<sup>3+</sup>(Te<sup>4+</sup>O<sub>3</sub>)<sub>3</sub>&middot;4.5H<sub>2</sub>O","1988"
"Szymańskiite","[H<sub>3</sub>O]<sup>+</sup><sub>8</sub>[Hg<sub>2</sub>]<sup>2+</sup><sub>8</sub>(Ni,Mg)<sub>6</sub>[CO<sub>3</sub>]<sub>12</sub>(OH)<sub>12</sub>&middot;3H<sub>2</sub>O","1990"
"Arupite","Ni<sub>3</sub>(PO<sub>4</sub>)<sub>2</sub>&middot;8H<sub>2</sub>O","1990"
"Jolliffeite","NiAsSe","1991"
"Widgiemoolthalite","Ni<sub>5</sub>(CO<sub>3</sub>)<sub>4</sub>(OH)<sub>2</sub>&middot;5H<sub>2</sub>O","1992"
"Wupatkiite","(Co,Mg,Ni)Al<sub>2</sub>(SO<sub>4</sub>)<sub>4</sub>&middot;22H<sub>2</sub>O","1994"
"Owensite","(Ba,Pb)<sub>6</sub>(Cu,Fe,Ni)<sub>25</sub>S<sub>27</sub>","1995"
"Allabogdanite","(Fe,Ni)<sub>2</sub>P","1997"
"Vavřínite","Ni<sub>2</sub>SbTe<sub>2</sub>","1998"
"Nickelschneebergite","BiNi<sub>2</sub>(AsO<sub>4</sub>)<sub>2</sub>(OH)&middot;H<sub>2</sub>O","1999"
"Paganoite","NiBi(AsO<sub>4</sub>)O","1999"
