"mineralName","formula","discoveryYear"
"Glaucophane","&#9723;[Na<sub>2</sub>][Mg<sub>3</sub>Al<sub>2</sub>]Si<sub>8</sub>O<sub>22</sub>(OH)<sub>2</sub>","1845"
"Pollucite","(Cs,Na)<sub>2</sub>(Al<sub>2</sub>Si<sub>4</sub>O<sub>12</sub>)&middot;2H<sub>2</sub>O","1846"
"Schorlomite","Ca<sub>3</sub>Ti<sub>2</sub>(SiO<sub>4</sub>)(Fe<sup>3+</sup>O<sub>4</sub>)<sub>2</sub>","1846"
"Montmorillonite","(Na,Ca)<sub>0.33</sub>(Al,Mg)<sub>2</sub>(Si<sub>4</sub>O<sub>10</sub>)(OH)<sub>2</sub>&middot;nH<sub>2</sub>O","1847"
"Celadonite","K(MgFe<sup>3+</sup>&#9723;)(Si<sub>4</sub>O<sub>10</sub>)(OH)<sub>2</sub>","1847"
"Sepiolite","Mg<sub>4</sub>(Si<sub>6</sub>O<sub>15</sub>)(OH)<sub>2</sub>&middot;6H<sub>2</sub>O","1847"
"Neotocite","(Mn,Fe,Mg)SiO<sub>3</sub>&middot;H<sub>2</sub>O","1848"
"Catapleiite","Na<sub>2</sub>Zr(Si<sub>3</sub>O<sub>9</sub>)&middot;2H<sub>2</sub>O","1850"
"Gyrolite","NaCa<sub>16</sub>Si<sub>23</sub>AlO<sub>60</sub>(OH)<sub>8</sub>&middot;14H<sub>2</sub>O","1851"
"Ephesite","NaLiAl<sub>2</sub>(Al<sub>2</sub>Si<sub>2</sub>O<sub>10</sub>)(OH)<sub>2</sub>","1851"
"Clinochlore","Mg<sub>5</sub>Al(AlSi<sub>3</sub>O<sub>10</sub>)(OH)<sub>8</sub>","1851"
"Meliphanite","(Ca,Na)<sub>2</sub>(Be,Al)[Si<sub>2</sub>O<sub>6</sub>(OH,F)]","1852"
"Uranophane","Ca(UO<sub>2</sub>)<sub>2</sub>(SiO<sub>3</sub>OH)<sub>2</sub>&middot;5H<sub>2</sub>O","1853"
"Hemimorphite","Zn<sub>4</sub>Si<sub>2</sub>O<sub>7</sub>(OH)<sub>2</sub>&middot;H<sub>2</sub>O","1853"
"Enstatite","Mg<sub>2</sub>Si<sub>2</sub>O<sub>6</sub>","1855"
"Homilite","Ca<sub>2</sub>(Fe<sup>2+</sup>,Mg)B<sub>2</sub>Si<sub>2</sub>O<sub>10</sub>","1860"
"Palygorskite","(Mg,Al)<sub>2</sub>Si<sub>4</sub>O<sub>10</sub>(OH)&middot;4H<sub>2</sub>O","1862"
"Jadeite","Na(Al,Fe<sup>3+</sup>)Si<sub>2</sub>O<sub>6</sub>","1863"
"Spadaite","MgSiO<sub>2</sub>(OH)<sub>2</sub>&middot;H<sub>2</sub>O (?)","1863"
"Mordenite","(Na<sub>2</sub>,Ca,K<sub>2</sub>)<sub>4</sub>(Al<sub>8</sub>Si<sub>40</sub>)O<sub>96</sub>&middot;28H<sub>2</sub>O","1864"
"Richterite","Na(NaCa)Mg<sub>5</sub>(Si<sub>8</sub>O<sub>22</sub>)(OH)<sub>2</sub>","1865"
"Aenigmatite","Na<sub>4</sub>[Fe<sup>2+</sup><sub>10</sub>Ti<sub>2</sub>]O<sub>4</sub>[Si<sub>12</sub>O<sub>36</sub>]","1865"
"Marialite","Na<sub>4</sub>Al<sub>3</sub>Si<sub>9</sub>O<sub>24</sub>Cl","1866"
"Cookeite","(LiAl<sub>4</sub>&#9723;)[AlSi<sub>3</sub>O<sub>10</sub>](OH)<sub>8</sub>","1866"
"Danalite","Be<sub>3</sub>Fe<sup>2+</sup><sub>4</sub>(SiO<sub>4</sub>)<sub>3</sub>S","1866"
"Xonotlite","Ca<sub>6</sub>(Si<sub>6</sub>O<sub>17</sub>)(OH)<sub>2</sub>","1866"
"Attakolite","CaMn<sup>2+</sup>Al<sub>4</sub>(SiO<sub>3</sub>OH)(PO<sub>4</sub>)<sub>3</sub>(OH)<sub>4</sub>","1868"
"Annite","KFe<sup>2+</sup><sub>3</sub>(AlSi<sub>3</sub>O<sub>10</sub>)(OH)<sub>2</sub>","1868"
"Howlite","Ca<sub>2</sub>B<sub>5</sub>SiO<sub>9</sub>(OH)<sub>5</sub>","1868"
"Milarite","K(&#9723;H<sub>2</sub>O)Ca<sub>2</sub>(Be<sub>2</sub>Al)[Si<sub>12</sub>O<sub>30</sub>]","1870"
"Bismutoferrite","Fe<sup>3+</sup><sub>2</sub>Bi(SiO<sub>4</sub>)<sub>2</sub>(OH)","1871"
"Ardennite-(As)","Mn<sup>2+</sup><sub>4</sub>Al<sub>4</sub>(AlMg)(AsO<sub>4</sub>)(SiO<sub>4</sub>)<sub>2</sub>(Si<sub>3</sub>O<sub>10</sub>)(OH)<sub>6</sub>","1872"
"Microsommite","Na<sub>4</sub>K<sub>2</sub>Ca<sub>2</sub>(Al<sub>6</sub>Si<sub>6</sub>O<sub>24</sub>)(SO<sub>4</sub>)Cl<sub>2</sub>","1872"
"Stevensite","(Ca,Na)<sub>x</sub>Mg<sub>3-x</sub>(Si<sub>4</sub>O<sub>10</sub>)(OH)<sub>2</sub>","1873"
"Cryptohalite","(NH<sub>4</sub>)<sub>2</sub>[SiF<sub>6</sub>]","1873"
"Sauconite","Na<sub>0.3</sub>Zn<sub>3</sub>((Si,Al)<sub>4</sub>O<sub>10</sub>)(OH)<sub>2</sub>&middot;4H<sub>2</sub>O","1875"
"Låvenite","Na<sub>2</sub>Ca<sub>2</sub>Mn<sub>2</sub>Zr<sub>2</sub>(Si<sub>2</sub>O<sub>7</sub>)<sub>2</sub>O<sub>2</sub>F<sub>2</sub>","1875"
"Aerinite","(Ca<sub>5.1</sub>Na<sub>0.5</sub>)(Fe<sup>3+</sup>,Al,Fe<sup>2+</sup>,Mg)<sub>4</sub>(Al,Mg)<sub>6</sub>[HSi<sub>12</sub>O<sub>36</sub>(OH)<sub>12</sub>][(CO<sub>3</sub>)<sub>1.2</sub>(H<sub>2</sub>O)<sub>12</sub>]","1876"
"Roscoelite","K(V<sup>3+</sup>,Al)<sub>2</sub>(AlSi<sub>3</sub>O<sub>10</sub>)(OH)<sub>2</sub>","1876"
"Barylite","Be<sub>2</sub>Ba(Si<sub>2</sub>O<sub>7</sub>)","1876"
