"mineralName","formula","discoveryYear"
"Morinite","NaCa<sub>2</sub>Al<sub>2</sub>(PO<sub>4</sub>)<sub>2</sub>(OH)F<sub>4</sub>&middot;2H<sub>2</sub>O","1891"
"Rectorite","(Na,Ca)Al<sub>4</sub>((Si,Al)<sub>8</sub>O<sub>20</sub>)(OH)<sub>4</sub>&middot;2H<sub>2</sub>O","1891"
"Darapskite","Na<sub>3</sub>(SO<sub>4</sub>)(NO<sub>3</sub>)&middot;H<sub>2</sub>O","1891"
"Aegirine-augite","(Na<sub>a</sub>Ca<sub>b</sub>Fe<sup>2+</sup><sub>c</sub>Mg<sub>d</sub>)(Fe<sup>3+</sup><sub>e</sub>Al<sub>f</sub>Fe<sup>2+</sup><sub>g</sub>Mg<sub>h</sub>)Si<sub>2</sub>O<sub>6</sub>","1892"
"Epididymite","Na<sub>2</sub>Be<sub>2</sub>Si<sub>6</sub>O<sub>15</sub>&middot;H<sub>2</sub>O","1893"
"Hainite-(Y)","Na<sub>2</sub>Ca<sub>4</sub>(Y,REE)Ti(Si<sub>2</sub>O<sub>7</sub>)<sub>2</sub>OF<sub>3</sub>","1893"
"Neptunite","Na<sub>2</sub>KLiFe<sup>2+</sup><sub>2</sub>Ti<sub>2</sub>Si<sub>8</sub>O<sub>24</sub>","1893"
"Lamprophyllite","(Na,Mn<sup>2+</sup>)<sub>3</sub>(Sr,Na)<sub>2</sub>(Ti,Fe<sup>3+</sup>)<sub>3</sub>(Si<sub>2</sub>O<sub>7</sub>)<sub>2</sub>O<sub>2</sub>(OH,O,F)<sub>2</sub>","1894"
"Elpidite","Na<sub>2</sub>ZrSi<sub>6</sub>O<sub>15</sub>&middot;3H<sub>2</sub>O","1894"
"Northupite","Na<sub>3</sub>Mg(CO<sub>3</sub>)<sub>2</sub>Cl","1895"
"Hastingsite","NaCa<sub>2</sub>(Fe<sup>2+</sup><sub>4</sub>Fe<sup>3+</sup>)(Si<sub>6</sub>Al<sub>2</sub>)O<sub>22</sub>(OH)<sub>2</sub>","1896"
"Gonnardite","(Na,Ca)<sub>2</sub>(Si,Al)<sub>5</sub>O<sub>10</sub>&middot;3H<sub>2</sub>O","1896"
"Wardite","NaAl<sub>3</sub>(PO<sub>4</sub>)<sub>2</sub>(OH)<sub>4</sub>&middot;2H<sub>2</sub>O","1896"
"Pirssonite","Na<sub>2</sub>Ca(CO<sub>3</sub>)<sub>2</sub>&middot;2H<sub>2</sub>O","1896"
"Naujakasite","(Na,K)<sub>6</sub>(Fe<sup>2+</sup>,Mn<sup>2+</sup>,Ca)(Al,Fe)<sub>4</sub>Si<sub>8</sub>O<sub>26</sub>","1897"
"Kosmochlor","NaCrSi<sub>2</sub>O<sub>6</sub>","1897"
