"mineralName","formula","discoveryYear"
"Cacoxenite","Fe<sup>3+</sup><sub>24</sub>AlO<sub>6</sub>(PO<sub>4</sub>)<sub>17</sub>(OH)<sub>12</sub>&middot;75H<sub>2</sub>O","1825"
"Epistilbite","CaAl<sub>2</sub>Si<sub>6</sub>O<sub>16</sub>&middot;5H<sub>2</sub>O","1826"
"Halloysite","Al<sub>2</sub>(Si<sub>2</sub>O<sub>5</sub>)(OH)<sub>4</sub>","1826"
"Stilpnomelane","(K,Ca,Na)(Fe,Mg,Al)<sub>8</sub>(Si,Al)<sub>12</sub>(O,OH)<sub>36</sub>&middot;nH<sub>2</sub>O","1827"
"Nontronite","Na<sub>0.3</sub>Fe<sub>2</sub>((Si,Al)<sub>4</sub>O<sub>10</sub>)(OH)<sub>2</sub>&middot;nH<sub>2</sub>O","1827"
"Clintonite","CaAlMg<sub>2</sub>(SiAl<sub>3</sub>O<sub>10</sub>)(OH)<sub>2</sub>","1828"
"Scarbroite","Al<sub>5</sub>(CO<sub>3</sub>)(OH)<sub>13</sub>&middot;5H<sub>2</sub>O","1829"
"Microcline","K(AlSi<sub>3</sub>O<sub>8</sub>)","1830"
"Volkonskoite","Ca<sub>0.3</sub>(Cr,Mg,Fe)<sub>2</sub>((Si,Al)<sub>4</sub>O<sub>10</sub>)(OH)<sub>2</sub>&middot;4H<sub>2</sub>O","1831"
"Spessartine","Mn<sup>2+</sup><sub>3</sub>Al<sub>2</sub>(SiO<sub>4</sub>)<sub>3</sub>","1832"
"Rhodizite","(K,Cs)Al<sub>4</sub>Be<sub>4</sub>(B,Be)<sub>12</sub>O<sub>28</sub>","1834"
"Gedrite","&#9723;{Mg<sub>2</sub>}{Mg<sub>3</sub>Al<sub>2</sub>}(Al<sub>2</sub>Si<sub>6</sub>O<sub>22</sub>)(OH)<sub>2</sub>","1836"
"Variscite","AlPO<sub>4</sub>&middot;2H<sub>2</sub>O","1837"
"Warwickite","(Mg,Ti,Fe,Al)<sub>2</sub>O(BO<sub>3</sub>)","1838"
"Edenite","NaCa<sub>2</sub>Mg<sub>5</sub>(Si<sub>7</sub>Al)O<sub>22</sub>(OH)<sub>2</sub>","1839"
"Cancrinite","(Na,Ca,&#9723;)<sub>8</sub>(Al<sub>6</sub>Si<sub>6</sub>O<sub>24</sub>)(CO<sub>3</sub>,SO<sub>4</sub>)<sub>2</sub>&middot;2H<sub>2</sub>O","1839"
"Cyanotrichite","Cu<sub>4</sub>Al<sub>2</sub>(SO<sub>4</sub>)(OH)<sub>12</sub>&middot;2H<sub>2</sub>O","1839"
"Halotrichite","FeAl<sub>2</sub>(SO<sub>4</sub>)<sub>4</sub>&middot;22H<sub>2</sub>O","1839"
"Saponite","Ca<sub>0.25</sub>(Mg,Fe)<sub>3</sub>((Si,Al)<sub>4</sub>O<sub>10</sub>)(OH)<sub>2</sub>&middot;nH<sub>2</sub>O","1840"
"Chalcophyllite","Cu<sub>18</sub>Al<sub>2</sub>(AsO<sub>4</sub>)<sub>4</sub>(SO<sub>4</sub>)<sub>3</sub>(OH)<sub>24</sub>&middot;36H<sub>2</sub>O","1841"
"Voltaite","K<sub>2</sub>Fe<sup>2+</sup><sub>5</sub>Fe<sup>3+</sup><sub>3</sub>Al(SO<sub>4</sub>)<sub>12</sub>&middot;18H<sub>2</sub>O","1841"
"Coquimbite","AlFe<sub>3</sub>(SO<sub>4</sub>)<sub>6</sub>(H<sub>2</sub>O)<sub>12</sub>&middot;6H<sub>2</sub>O","1841"
"Phlogopite","KMg<sub>3</sub>(AlSi<sub>3</sub>O<sub>10</sub>)(OH)<sub>2</sub>","1841"
